Nombre,Ubicación,Superficie (km²),Profundidad máxima (m),Profundidad media (m),Coordenadas (GMS),Latitud_GD,Longitud_GD,Sup Tamaño,Sup Tamaño
Lago Argentino,Santa Cruz,1435,500,150,"50°14'53""S 72°38'43""O",-50.248056,-72.645278,grande
Lago Viedma,Santa Cruz,1166,,,"49°37'27""S 72°29'42""O",-49.624167,-72.495000,grande
Lago Nahuel Huapi,Río Negro / Neuquén,540,464,157,"40°51'16""S 71°36'58""O",-40.854444,-71.616111,grande
Lago Musters,Chubut,427,39,20,"45°24'53""S 69°11'52""O",-45.414722,-69.197778,grande
Lago Cardiel,Santa Cruz,358,,49,"48°55'3""S 71°12'53""O",-48.917500,-71.214722,grande
Lago Epecuén,Buenos Aires,156,11,7,"37°7'45""S 62°51'53""O",-37.129167,-62.864722,grande
Lago Pellegrini,Río Negro,116,,,"38°42'25""S 67°58'23""O",-38.706944,-67.973056,grande
Lago Strobel,Santa Cruz,100,,,"48°25'58""S 71°11'25""O",-48.432778,-71.190278,grande
Lago Fontana,Chubut,84,,79,"44°55'17""S 71°29'45""O",-44.921389,-71.495833,grande
Lago Huechulafquen,Neuquén,84,,142,"39°46'28""S 71°30'32""O",-39.774444,-71.508889,grande
Lago Traful,Neuquén,78,,,"40°37'50""S 71°24'55""O",-40.630556,-71.415278,grande
Lago La Plata,Chubut,73,,,"44°51'33""S 71°49'12""O",-44.859167,-71.820000,grande
Lago Ghío,Santa Cruz,65,,,"47°17'18""S 71°31'49""O",-47.288333,-71.530278,grande
Lago Menéndez,Chubut,58,287,149,"42°41'28""S 71°51'45""O",-42.691111,-71.862500,medio
Lago Aluminé,Neuquén,58,165,64,"38°55'18""S 71°7'35""O",-38.921667,-71.126389,medio
Lago Lácar,Neuquén,53,277,166,"40°9'45""S 71°26'11""O",-40.162500,-71.436389,medio
Lago Yehuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",49,,43,"54°24'43""S 67°42'55""O",-54.411944,-67.715278,medio
Lago Quiroga,Santa Cruz,47,,,"48°25'1""S 71°33'3""O",-48.416944,-71.550833,medio
Lago Puelo,Chubut,47,180,111,"42°9'3""S 71°38'59""O",-42.150833,-71.649722,medio
Lago Nansen,Santa Cruz,42,,,"47°58'44""S 72°21'11""O",-47.978889,-72.353056,medio
Lago Belgrano,Santa Cruz,42,,,"47°50'38""S 72°8'34""O",-47.843889,-72.142778,medio
