username,fecha,tematica,dificultad,puntos
cande,2024-06-14 17:37:42.072112,Lagos,Facil,2.0
karen,2024-06-14 17:39:41.447817,Lagos,Dificil,6.0
manu,2024-06-14 17:51:05.438596,Conectividad a internet,Medio,6.0
male,2024-06-14 17:57:42.591137,Lagos,Medio,4.0
cande,2024-06-14 17:59:39.079010,Lagos,Medio,4.0
karen,2024-06-14 18:06:33.358560,Lagos,Dificil,0.0
karen,2024-06-14 18:06:33.358560,Lagos,Dificil,0.0
karen,2024-06-14 18:27:23.947204,Lagos,Dificil,6.0
karen,2024-06-14 18:27:23.947204,Lagos,Dificil,6.0
cande,2024-06-14 20:36:23.275337,Lagos,Facil,0.0
cande,2024-06-14 20:36:23.275337,Lagos,Facil,0.0
cande,2024-06-14 20:36:23.275337,Lagos,Facil,0.0
cande,2024-06-14 20:36:23.275337,Lagos,Facil,0.0
cande,2024-06-14 20:36:23.275337,Lagos,Facil,0.0
cande,2024-06-15 00:25:06.564861,Conectividad a internet,Dificil,8.0
male,2024-06-15 00:27:24.925363,Conectividad a internet,Medio,7.0
cande,2024-06-15 00:59:12.747646,Aeropuertos,Dificil,10.0
manu,2024-06-15 01:04:19.051544,Aeropuertos,Medio,7.0
manu,2024-06-15 01:04:19.051544,Aeropuertos,Medio,7.0
manu,2024-06-15 01:04:19.051544,Aeropuertos,Medio,7.0
cande,2024-06-15 01:46:03.368406,Conectividad a internet,Medio,6.0
cande,2024-06-15 01:51:53.471929,Lagos,Facil,5.0
cande,2024-06-15 02:00:34.400038,Conectividad a internet,Medio,0.0
pedrito,2024-06-18 21:09:32.594980,Conectividad a internet,Medio,7.5
pedrito,2024-06-18 21:09:32.594980,Conectividad a internet,Medio,7.5
juan,2024-06-18 21:16:11.049579,Aeropuertos,Dificil,10.0
juan,2024-06-18 21:16:11.049579,Aeropuertos,Dificil,10.0
melany,2024-06-18 21:18:26.538466,Lagos,Facil,4.0
charmy,2024-06-18 23:19:50.119409,Aeropuertos,Medio,0.0
melany,2024-06-18 23:35:08.476186,Aeropuertos,Facil,0.0
cande,2024-06-18 23:59:33.501635,Conectividad a internet,Medio,0.0
karen,2024-06-19 11:17:15.221220,Aeropuertos,Facil,0.0
karen,2024-06-19 15:19:51.699678,Lagos,Facil,4.0
karen,2024-06-19 15:19:51.699678,Lagos,Facil,5.0
karen,2024-06-19 15:19:51.699678,Lagos,Facil,4.0
juan,2024-06-19 14:00:50.828310,Censo,Facil,4.0

